CPUID:,0x600F20
Processor:,AMD FX-8320 Eight-Core (Vishera) 
Platform:,Socket AM3+ (942 pin)
Revision:,OR-C0
Lithography:,32nm

Session start:,12:57:07 - November 13 - 2021

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),Core 6 Temp. (°),Core 7 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 6,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 7,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
13:06:33 11/13/21,26,26,26,26,26,26,26,26,,,11,31,30,3141.76,,11,31,47,3141.76,,11,31,23,3141.76,,11,31,16,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:06:43 11/13/21,27,27,27,27,27,27,27,27,,,11,31,38,3141.76,,11,31,47,3141.76,,11,31,59,3141.76,,11,31,27,3141.76,,11,31,30,3141.76,,11,31,11,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:06:53 11/13/21,28,28,28,28,28,28,28,28,,,11,31,37,3141.76,,11,31,20,3141.76,,11,31,39,3141.76,,11,31,26,3141.76,,11,31,12,3141.76,,11,31,34,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,
13:07:03 11/13/21,27,27,27,27,27,27,27,27,,,11,31,17,3141.76,,11,31,38,3141.76,,11,31,25,3141.76,,11,31,44,3141.76,,11,31,24,3141.76,,11,31,5,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:07:13 11/13/21,26,26,26,26,26,26,26,26,,,11,31,28,3141.76,,11,31,20,3141.76,,11,31,55,3141.76,,11,31,24,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:07:23 11/13/21,26,26,26,26,26,26,26,26,,,11,31,32,3141.76,,11,31,36,3141.76,,11,31,49,3141.76,,11,31,21,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:07:33 11/13/21,27,27,27,27,27,27,27,27,,,11,31,27,3141.76,,11,31,26,3141.76,,11,31,17,3141.76,,11,31,65,3141.76,,11,31,2,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:07:43 11/13/21,27,27,27,27,27,27,27,27,,,11,31,26,3141.76,,11,31,18,3141.76,,11,31,63,3141.76,,11,31,47,3141.76,,11,31,11,3141.76,,11,31,30,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:07:53 11/13/21,27,27,27,27,27,27,27,27,,,11,31,15,3141.76,,11,31,30,3141.76,,11,31,60,3141.76,,11,31,11,3141.76,,11,31,5,3141.76,,11,31,5,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:08:03 11/13/21,26,26,26,26,26,26,26,26,,,11,31,35,3141.76,,11,31,48,3141.76,,11,31,24,3141.76,,11,31,22,3141.76,,11,31,5,3141.76,,11,31,15,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,
13:08:13 11/13/21,27,27,27,27,27,27,27,27,,,11,31,41,3141.76,,11,31,39,3141.76,,11,31,49,3141.76,,11,31,32,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:08:23 11/13/21,27,27,27,27,27,27,27,27,,,11,31,28,3141.76,,11,31,63,3141.76,,11,31,35,3141.76,,11,31,47,3141.76,,11,31,14,3141.76,,11,31,26,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:08:33 11/13/21,29,29,29,29,29,29,29,29,,,11,31,55,3141.76,,11,31,52,3141.76,,11,31,66,3141.76,,11,31,57,3141.76,,11,31,49,3141.76,,11,31,46,3141.76,,11,31,30,3141.76,,11,31,24,3141.76,
13:08:43 11/13/21,27,27,27,27,27,27,27,27,,,11,31,41,3141.76,,11,31,34,3141.76,,11,31,36,3141.76,,11,31,27,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:08:53 11/13/21,27,27,27,27,27,27,27,27,,,11,31,28,3141.76,,11,31,46,3141.76,,11,31,19,3141.76,,11,31,36,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,
13:09:03 11/13/21,26,26,26,26,26,26,26,26,,,11,31,22,3141.76,,11,31,14,3141.76,,11,31,31,3141.76,,11,31,55,3141.76,,11,31,4,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:09:13 11/13/21,27,27,27,27,27,27,27,27,,,11,31,45,3141.76,,11,31,49,3141.76,,11,31,15,3141.76,,11,31,23,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:09:23 11/13/21,27,27,27,27,27,27,27,27,,,11,31,36,3141.76,,11,31,41,3141.76,,11,31,27,3141.76,,11,31,26,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,1,3141.76,
13:09:33 11/13/21,28,28,28,28,28,28,28,28,,,11,31,53,3141.76,,11,31,25,3141.76,,11,31,49,3141.76,,11,31,27,3141.76,,11,31,27,3141.76,,11,31,55,3141.76,,11,31,6,3141.76,,11,31,5,3141.76,
13:09:43 11/13/21,26,26,26,26,26,26,26,26,,,11,31,30,3141.76,,11,31,30,3141.76,,11,31,33,3141.76,,11,31,33,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,
13:09:53 11/13/21,26,26,26,26,26,26,26,26,,,11,31,47,3141.76,,11,31,49,3141.76,,11,31,9,3141.76,,11,31,25,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:10:03 11/13/21,26,26,26,26,26,26,26,26,,,11,31,61,3141.76,,11,31,16,3141.76,,11,31,17,3141.76,,11,31,43,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:10:13 11/13/21,27,27,27,27,27,27,27,27,,,11,31,27,3141.76,,11,31,58,3141.76,,11,31,29,3141.76,,11,31,51,3141.76,,11,31,6,3141.76,,11,31,1,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:10:23 11/13/21,26,26,26,26,26,26,26,26,,,11,31,35,3141.76,,11,31,46,3141.76,,11,31,27,3141.76,,11,31,34,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:10:33 11/13/21,29,28,28,28,28,28,28,28,,,11,31,71,3141.76,,11,31,36,3141.76,,11,31,60,3141.76,,11,31,39,3141.76,,11,31,34,3141.76,,11,31,37,3141.76,,11,31,1,3141.76,,11,31,0,3141.76,
